writer_id,primaryName,birthYear,deathYear,knownForTitles
nm0001620,Slim Pickens,1919,1983,tt0057012
nm0001625,Amanda Plummer,1957,\N,tt0110912
nm0001629,Kevin Pollak,1957,\N,tt0104257
nm0001631,Sarah Polley,1979,\N,tt0120255
nm0001636,Priscilla Presley,1945,\N,tt0110622
nm0001639,Alex Proyas,1963,\N,tt0343818
nm0001640,Richard Pryor,1940,2005,tt0086393
nm0001641,Vincent Perez,1964,\N,tt0238546
nm0001646,Ted Raimi,1965,\N,tt0805570
nm0001653,Stephen Rea,1946,\N,tt0434409
nm0001661,Rob Reiner,1947,\N,tt0104257
nm0001663,Paul Reiser,1957,\N,tt0086960
nm0001666,Debbie Reynolds,1932,2016,tt0045152
nm0001672,Joan Rivers,1933,2014,tt1300854
nm0001674,Chris Rock,1965,\N,tt0122151
nm0001675,Robert Rodriguez,1968,\N,tt0287717
nm0001679,Mark Rolston,1956,\N,tt0120812
nm0001681,George A. Romero,1940,2017,tt0848557
nm0001683,Roseanne Barr,1952,\N,tt0094540
nm0001684,Katharine Ross,1940,\N,tt0246578
nm0001687,Gena Rowlands,1930,\N,tt0332280
nm0001692,Ken Russell,1927,2011,tt0080360
nm0001695,George Sanders,1906,1972,tt0042192
nm0001701,Devon Sawa,1978,\N,tt0112642
nm0001703,Maximilian Schell,1930,2014,tt0120877
nm0001705,Rob Schneider,1963,\N,tt0367652
nm0001707,Paul Schrader,1946,\N,tt0081398
nm0001708,Joel Schumacher,1939,\N,tt0293508
nm0001720,Ivan Sergei,1971,\N,tt0452594
nm0001725,Omar Sharif,1932,2015,tt0120657
nm0001727,Robert Shaw,1927,1978,tt0057076
nm0001728,Wallace Shawn,1943,\N,tt0093779
nm0001731,Sam Shepard,1943,2017,tt0265086
nm0001733,Nicollette Sheridan,1963,\N,tt0117723
nm0001734,Armin Shimerman,1949,\N,tt0106145
nm0001736,Pauly Shore,1968,\N,tt0104187
nm0001737,Martin Short,1950,\N,tt0093260
nm0001741,Bryan Singer,1965,\N,tt1877832
nm0001744,Tom Sizemore,1961,\N,tt0265086
nm0001745,Stellan Skarsgård,1951,\N,tt2382009
nm0001746,Ione Skye,1970,\N,tt0332047
nm0001747,Charles Martin Smith,1953,\N,tt0069704
nm0001754,Todd Solondz,1959,\N,tt0114906
nm0001758,Timothy Spall,1957,\N,tt0408236
nm0001769,Howard Stern,1954,\N,tt0119951
nm0001778,Matt Stone,1971,\N,tt0372588
nm0001779,Tom Stoppard,1937,\N,tt0088846
nm0001789,Andrei Tarkovsky,1932,1986,tt0060107
nm0001801,Robert Towne,1934,\N,tt0117060
nm0001806,John Turturro,1957,\N,tt0101410
nm0001808,Tracey Ullman,1959,\N,tt0109348
nm0001811,Peter Ustinov,1921,2004,tt0074812
nm0001815,Jim Varney,1949,2000,tt0120363
nm0001817,Reginald VelJohnson,1952,\N,tt0095016
nm0001824,Ally Walker,1961,\N,tt0114924
