title_id,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
tt1024648,movie,Argo,Argo,0,2012,\N,120,Biography;Drama;Thriller,7.7,521184
tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,0,1968,\N,149,Adventure;Sci-Fi,8.3,520866
tt0120903,movie,X-Men,X-Men,0,2000,\N,104,Action;Adventure;Sci-Fi,7.4,519667
tt3315342,movie,Logan,Logan,0,2017,\N,137,Action;Drama;Sci-Fi,8.1,519507
tt0369610,movie,Jurassic World,Jurassic World,0,2015,\N,124,Action;Adventure;Sci-Fi,7.0,519285
tt0454876,movie,Life of Pi,Life of Pi,0,2012,\N,127,Adventure;Drama;Fantasy,7.9,515929
tt0054215,movie,Psycho,Psycho,0,1960,\N,109,Horror;Mystery;Thriller,8.5,514632
tt0948470,movie,The Amazing Spider-Man,The Amazing Spider-Man,0,2012,\N,136,Action;Adventure;Sci-Fi,7.0,510727
tt0758758,movie,Into the Wild,Into the Wild,0,2007,\N,148,Adventure;Biography;Drama,8.1,509657
tt0113277,movie,Heat,Heat,0,1995,\N,170,Crime;Drama;Thriller,8.2,507599
tt1981115,movie,Thor: The Dark World,Thor: The Dark World,0,2013,\N,112,Action;Adventure;Fantasy,7.0,507419
tt2096673,movie,Inside Out,Inside Out,0,2015,\N,95,Adventure;Animation;Comedy,8.2,506156
tt0780504,movie,Drive,Drive,0,2011,\N,100,Crime;Drama,7.8,505576
tt1392214,movie,Prisoners,Prisoners,0,2013,\N,153,Crime;Drama;Mystery,8.1,503444
tt1386697,movie,Suicide Squad,Suicide Squad,0,2016,\N,123,Action;Adventure;Fantasy,6.1,502011
tt2294629,movie,Frozen,Frozen,0,2013,\N,102,Adventure;Animation;Comedy,7.5,497257
tt2562232,movie,Birdman or (The Unexpected Virtue of Ignorance),Birdman or (The Unexpected Virtue of Ignorance),0,2014,\N,119,Comedy;Drama,7.7,496526
tt0073195,movie,Jaws,Jaws,0,1975,\N,124,Adventure;Drama;Thriller,8.0,494041
tt1276104,movie,Looper,Looper,0,2012,\N,113,Action;Crime;Drama,7.4,487204
tt1250777,movie,Kick-Ass,Kick-Ass,0,2010,\N,117,Action;Comedy,7.6,486202
tt0116629,movie,Independence Day,Independence Day,0,1996,\N,145,Action;Adventure;Sci-Fi,7.0,483144
tt0316654,movie,Spider-Man 2,Spider-Man 2,0,2004,\N,127,Action;Adventure;Sci-Fi,7.3,482533
tt0120735,movie,"Lock, Stock and Two Smoking Barrels","Lock, Stock and Two Smoking Barrels",0,1998,\N,107,Comedy;Crime,8.2,479725
tt0119488,movie,L.A. Confidential,L.A. Confidential,0,1997,\N,138,Crime;Drama;Mystery,8.3,479466
tt2543164,movie,Arrival,Arrival,0,2016,\N,116,Drama;Mystery;Sci-Fi,7.9,478847
tt1219289,movie,Limitless,Limitless,0,2011,\N,105,Mystery;Sci-Fi;Thriller,7.4,478133
tt0829482,movie,Superbad,Superbad,0,2007,\N,113,Comedy,7.6,471247
tt0295297,movie,Harry Potter and the Chamber of Secrets,Harry Potter and the Chamber of Secrets,0,2002,\N,161,Adventure;Family;Fantasy,7.4,469679
tt0234215,movie,The Matrix Reloaded,The Matrix Reloaded,0,2003,\N,138,Action;Sci-Fi,7.2,466774
tt0290334,movie,X-Men 2,X2,0,2003,\N,134,Action;Adventure;Sci-Fi,7.5,466358
tt0330373,movie,Harry Potter and the Goblet of Fire,Harry Potter and the Goblet of Fire,0,2005,\N,157,Adventure;Family;Fantasy,7.7,465752
tt0304141,movie,Harry Potter and the Prisoner of Azkaban,Harry Potter and the Prisoner of Azkaban,0,2004,\N,142,Adventure;Family;Fantasy,7.9,465521
tt1232829,movie,21 Jump Street,21 Jump Street,0,2012,\N,109,Action;Comedy;Crime,7.2,465221
tt0258463,movie,The Bourne Identity,The Bourne Identity,0,2002,\N,119,Action;Mystery;Thriller,7.9,464046
tt1318514,movie,Rise of the Planet of the Apes,Rise of the Planet of the Apes,0,2011,\N,105,Action;Drama;Sci-Fi,7.6,462885
tt0240772,movie,Ocean's Eleven,Ocean's Eleven,0,2001,\N,116,Crime;Thriller,7.8,462097
tt0119654,movie,Men in Black,Men in Black,0,1997,\N,98,Adventure;Comedy;Mystery,7.3,460768
tt0034583,movie,Casablanca,Casablanca,0,1942,\N,102,Drama;Romance;War,8.5,459515
tt1211837,movie,Doctor Strange,Doctor Strange,0,2016,\N,115,Action;Adventure;Fantasy,7.5,459161
tt0332280,movie,The Notebook,The Notebook,0,2004,\N,123,Drama;Romance,7.9,458130
tt0162222,movie,Cast Away,Cast Away,0,2000,\N,143,Adventure;Drama;Romance,7.8,457842
tt0478970,movie,Ant-Man,Ant-Man,0,2015,\N,117,Action;Adventure;Comedy,7.3,457751
tt0467406,movie,Juno,Juno,0,2007,\N,96,Comedy;Drama,7.5,456796
tt0181689,movie,Minority Report,Minority Report,0,2002,\N,145,Action;Adventure;Crime,7.7,456752
tt0075148,movie,Rocky,Rocky,0,1976,\N,120,Drama;Sport,8.1,455134
tt0365748,movie,Shaun of the Dead,Shaun of the Dead,0,2004,\N,99,Comedy;Horror,7.9,454979
tt0450259,movie,Blood Diamond,Blood Diamond,0,2006,\N,143,Adventure;Drama;Thriller,8.0,451757
tt0120363,movie,Toy Story 2,Toy Story 2,0,1999,\N,92,Adventure;Animation;Comedy,7.9,450179
tt0343818,movie,"I, Robot","I, Robot",0,2004,\N,115,Action;Crime;Drama,7.1,449572
tt3748528,movie,Rogue One: A Star Wars Story,Rogue One,0,2016,\N,133,Action;Adventure;Sci-Fi,7.8,449052
tt1323594,movie,Despicable Me,Despicable Me,0,2010,\N,95,Animation;Comedy;Family,7.7,448458
tt0469494,movie,There Will Be Blood,There Will Be Blood,0,2007,\N,158,Drama,8.1,447982
tt0451279,movie,Wonder Woman,Wonder Woman,0,2017,\N,141,Action;Adventure;Fantasy,7.5,446574
tt0071853,movie,Monty Python and the Holy Grail,Monty Python and the Holy Grail,0,1975,\N,91,Adventure;Comedy;Fantasy,8.3,445733
tt1798709,movie,Her,Her,0,2013,\N,126,Drama;Romance;Sci-Fi,8.0,445251
tt0413300,movie,Spider-Man 3,Spider-Man 3,0,2007,\N,139,Action;Adventure;Sci-Fi,6.2,445121
tt1156398,movie,Zombieland,Zombieland,0,2009,\N,88,Adventure;Comedy;Horror,7.7,443736
tt0411008,tvSeries,Lost,Lost,0,2004,2010,44,Adventure;Drama;Fantasy,8.4,442307
tt0409459,movie,Watchmen,Watchmen,0,2009,\N,162,Action;Drama;Mystery,7.6,441163
tt1483013,movie,Oblivion,Oblivion,0,2013,\N,124,Action;Adventure;Mystery,7.0,441075
tt0364569,movie,Oldboy,Oldeuboi,0,2003,\N,120,Action;Drama;Mystery,8.4,439883
tt0945513,movie,Source Code,Source Code,0,2011,\N,93,Mystery;Romance;Sci-Fi,7.5,439762
tt1408101,movie,Star Trek: Into Darkness,Star Trek: Into Darkness,0,2013,\N,132,Action;Adventure;Sci-Fi,7.7,438790
tt0376994,movie,X-Men: The Last Stand,X-Men: The Last Stand,0,2006,\N,104,Action;Adventure;Sci-Fi,6.7,438283
tt0332452,movie,Troy,Troy,0,2004,\N,163,Drama;History;Romance,7.2,438266
tt1663662,movie,Pacific Rim,Pacific Rim,0,2013,\N,131,Action;Adventure;Sci-Fi,6.9,434261
tt1298650,movie,Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,0,2011,\N,136,Action;Adventure;Fantasy,6.6,434222
tt0373889,movie,Harry Potter and the Order of the Phoenix,Harry Potter and the Order of the Phoenix,0,2007,\N,138,Adventure;Family;Fantasy,7.5,431519
tt0095953,movie,Rain Man,Rain Man,0,1988,\N,133,Drama,8.0,430627
tt1022603,movie,500 Days of Summer,(500) Days of Summer,0,2009,\N,95,Comedy;Drama;Romance,7.7,429890
tt5013056,movie,Dunkirk,Dunkirk,0,2017,\N,106,Action;Drama;History,7.9,428725
tt1570728,movie,"Crazy, Stupid, Love.","Crazy, Stupid, Love.",0,2011,\N,118,Comedy;Drama;Romance,7.4,426516
